,class,cap-shape,cap-surface,cap-color,bruises,odor,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,poisonous,5,2,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,5
1,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
2,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
3,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,5
4,edible,5,2,3,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,0,1
5,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,1
6,edible,0,2,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
7,edible,0,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
8,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,4,1
9,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
10,edible,,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,1
11,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,3,3
12,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
13,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,5
14,edible,5,0,4,no bruises,5,1,3,2,0,7,7,0,2,1,0,2,0,1
15,edible,4,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,3,5,5
16,edible,2,0,8,no bruises,5,1,3,2,2,7,7,0,2,1,0,3,0,1
17,poisonous,5,2,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,2,3,1
18,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,3,5
19,poisonous,5,2,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,3,5
20,edible,0,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,3
21,poisonous,5,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,1
22,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
23,edible,0,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
24,edible,0,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
25,poisonous,2,2,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,1
26,edible,5,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,3
27,edible,5,3,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
28,edible,2,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,5,5
29,edible,5,2,9,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
30,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
31,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,3,5
32,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
33,edible,5,3,4,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,5,4
34,edible,0,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,3,3
35,edible,5,0,9,bruises is there,3,1,1,2,2,7,7,0,2,1,4,3,4,0
36,edible,4,0,3,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,4,5
37,poisonous,5,3,4,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,3,5
38,edible,5,0,9,bruises is there,0,1,1,2,2,7,7,0,2,1,4,3,4,0
39,edible,0,2,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
40,edible,0,3,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,3,1
41,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,5,4
42,edible,5,0,4,no bruises,5,0,3,2,2,7,7,0,2,1,4,2,5,5
43,poisonous,5,3,8,bruises is there,6,0,3,2,2,7,7,0,2,1,4,3,4,1
44,edible,5,2,9,bruises is there,0,0,2,2,2,7,7,0,2,1,4,2,2,3
45,edible,5,3,8,bruises is there,0,0,2,2,2,7,7,0,2,1,4,3,2,1
46,edible,5,3,9,bruises is there,3,0,2,2,2,7,7,0,2,1,4,2,3,3
47,edible,5,2,8,bruises is there,3,0,2,2,2,7,7,0,2,1,4,3,2,3
48,edible,5,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,3,3,4
49,edible,2,3,9,bruises is there,3,0,4,2,3,7,7,0,2,1,4,2,3,4
50,edible,5,3,4,bruises is there,0,0,4,2,3,7,7,0,2,1,4,2,3,1
